iter	Logloss
0	0.6688095093
1	0.6446203232
2	0.6232684612
3	0.603311252644	0.587277078655	0.57211494456	0.5613717079
7	0.5460035324
8	0.5359223366
9	0.5254209995
10	0.5172834873
11	0.5096893787
12	0.499770689
13	0.4926288605
14	0.4859102249
15	0.4809036255
16	0.4753265381
17	0.4710614204
18	0.4655182362
19	0.4611569405
20	0.4552836895
21	0.4515537262
22	0.4468343258
23	0.442817831
24	0.4392231464
25	0.4355285645
26	0.4321787357
27	0.4278748512
28	0.423732233
29	0.4217749596
30	0.4189012527
31	0.415521431
32	0.4133230686
33	0.4108715057
34	0.4077075958
35	0.4052206993
36	0.4027050018
37	0.4003856659
38	0.3974814415
39	0.3938839436
40	0.3917495966
41	0.388647151
42	0.3868514061
43	0.3854731083
44	0.3826981068
45	0.3816350937
46	0.378088069
47	0.3756545305
48	0.3729552269
49	0.3712596178
50	0.3694157362
51	0.3677548409
52	0.3662565947
53	0.3642590523
54	0.3627411842
55	0.3617050409
56	0.3600225925
57	0.3588832855
58	0.3581423759
59	0.356599617
60	0.3538467169
61	0.3522298098
62	0.3506530285
63	0.3497567892
64	0.348185873
65	0.3473050594
66	0.3461321354
67	0.3449857235
68	0.3442308664
69	0.3432055473
70	0.3421739578
71	0.3408788681
72	0.3401525736
73	0.3393310785
74	0.3379248857
75	0.3369933605
76	0.3360129356
77	0.3347185612
78	0.3330569983
79	0.3312401295
80	0.3302337408
81	0.3292278528
82	0.327964592
83	0.3271063805
84	0.3264174223
85	0.3252712965
86	0.3239729404
87	0.3228439569
88	0.320486784
89	0.3194214821
90	0.3178840876
91	0.3163389206
92	0.3157361746
93	0.3137568474
94	0.3125415802
95	0.3111685514
96	0.3100091219
97	0.3075634956
98	0.3068629265
99	0.3055287838
100	0.3043438673
101	0.3035647392
102	0.3022900581
103	0.300988555
104	0.2992219925
105	0.2978449821
106	0.2960697651
107	0.2949309826
108	0.2935719728
109	0.292773962
110	0.2916570902
111	0.2904120445
112	0.2888221264
113	0.2872435093
114	0.2869282246
115	0.2863862514
116116	0.26682283117117	0.2653183118118	0.2636988401
119	0.2624311686
120	0.2617756605
121	0.2605264425
122	0.2591602564
123	0.2584560394
124	0.2566911221
125	0.2553695679
126	0.2545331478
127	0.2532045364
128	0.2524047136
129	0.2513669491
130	0.2499068131	131	0.2492378235
132	0.2482544422
133	0.2470851421
134	0.2460356236
135	0.2452955246
136	0.2439270973
137	0.2420647383
138	0.2410170555
139	0.2401017427
140	0.2391498327
141	0.2386183739
142	0.2369614363
143	0.235214901
144	0.2341901064
145	0.2336196423
146	0.2316755295
147	0.2313038349
148	0.2296624422
149	0.2287143946
150	0.2276879072
151	0.2266846418
152	0.2257884264
153	0.2242080688
154	0.2226212263
155	0.2220174789
156	0.2212303162
157	0.2199269056
158	0.2190683842
159	0.2180389643
160	0.2169243097
161	0.2160161972
162	0.2149837255
163	0.2139777422
164	0.2127813339
165	0.2116210937
166	0.2107167721
167	0.2100786448
168	0.2095604897
169	0.2082772732
170	0.207094574
171	0.2059811592
172	0.2050889254
173	0.2049508572
174	0.2048387766
175	0.2041194201
176	0.2032025814
177	0.2022949457
178	0.2018956184
179	0.2018039703
180	0.2002598763
181	0.1995716333
182	0.1994581938
183	0.1990892053
184	0.1989941597
185	0.197911489
186	0.1966333151
187	0.1956566811
188	0.1946644783
189	0.1931982994
190	0.1926229477
191	0.1925504208
192	0.1911868811
193	0.1908154964
194	0.1896638632
195	0.1884710193
196	0.1876360059
197	0.1861158371
198	0.1859972954
199	0.1849272728
