iter	Passed	Remaining
0	113	2267911	130	1290322	142	933833	150	736644	160	625655	174	56566	182	5020
7	195	4698
8	200	4246
9	208	3952
10	216	3724
11	227	3556
12	233	3363
13	239	3184
14	245	3033
15	249	2872
16	255	2755
17	261	2648
18	267	2548
19	273	2460
20	278	2372
21	282	2285
22	291	2243
23	299	2193
24	304	2128
25	309	2069
26	312	2000
27	315	1937
28	320	1889
29	324	1839
30	328	1792
31	331	1742
32	337	1710
33	344	1681
34	353	1664
35	357	1629
36	361	1593
37	366	1562
38	371	1534
39	375	1500
40	381	1480
41	389	1466
42	393	1435
43	401	1424
44	407	1404
45	411	1379
46	415	1353
47	419	1329
48	423	1304
49	427	1282
50	430	1258
51	433	1234
52	437	1212
53	441	1192
54	445	1174
55	449	1157
56	453	1137
57	456	1117
58	459	1099
59	463	1082
60	468	1067
61	471	1049
62	474	1032
63	478	1017
64	483	1004
65	487	989
66	491	975
67	494	959
68	497	945
69	502	932
70	505	918
71	508	903
72	511	889
73	514	876
74	518	864
75	523	854
76	526	841
77	530	829
78	534	818
79	538	807
80	542	796
81	546	786
82	551	777
83	555	766
84	559	756
85	564	748
86	568	738
87	571	727
88	575	717
89	581	711
90	584	700
91	588	690
92	592	681
93	596	673
94	601	664
95	604	654996	608	645
97	613	638
98	616	628
99	620	620
100	623	611
101	628	603
102	631	594
103	634	585
104	638	577
105	642	570
106	647	562
107	650	553
108	653	5451109	659	539
110	662	531
111	665	5231112	669	5151113	672	5071114	676	5001115	680	492116	683	484
117	687	477
118	693	471
119	696	464
120	700	457
121	704	450
122	708	443
123	711	436
124	715	429
125	719	422
126	722	415
127	725	408
128	730	401
129	733	395
130	737	388
131	742	382
132	747	376
133	752	370
134	758	365
135	762	358
136	766	352
137	772	347
138	777	341
139	781	334
140	784	328
141	788	322
142	794	316
143	797	310
144	801	303
145	805	297
146	809	291
147	813	285
148	816	279
149	820	273
150	824	267
151	828	261
152	833	255
153	836	249
154	841	244
155	845	238
156	848	232
157	854	227
158	857	221
159	860	215
160	862	208
161	865	203
162	872	198
163	875	192
164	878	186
165	881	180
166	885	175
167	888	169
168	891	163
169	894	157
170	897	152
171	901	146
172	905	141
173	908	135
174	912	130
175	915	124
176	919	119
177	922	114
178	925	108
179	928	103
180	933	97
181	937	92
182	940	87
183	943	82
184	945	76
185	950	71
186	953	66
187	955	60
188	958	55
189	962	50
190	966	45
191	969	40
192	975	35
193	977	30
194	979	25
195	981	20
196	984	14
197	986	9
198	988	4
199	990	0

